Date,{"SpaceDryBulbTemperature":"Kids Bedroom"},{"SpaceDryBulbTemperature":"Bathroom"},{"SpaceDryBulbTemperature":"Storage"},{"SpaceDryBulbTemperature":"Kitchen"},{"SpaceDryBulbTemperature":"Laundry"},{"SpaceDryBulbTemperature":"Livingroom"},{"SpaceDryBulbTemperature":"Main Bedroom"},{"SpaceDryBulbTemperature":"Hallway"}
02/16 - 1:30,21.118,21.612,20.733,21.908,21.552,21.384,20.746,20.860
02/16 - 1:45,21.100,21.592,20.732,21.880,21.540,21.355,20.731,20.851
02/16 - 2:00,21.081,21.570,20.731,21.850,21.528,21.325,20.715,20.842
02/16 - 2:15,21.061,21.548,20.729,21.821,21.515,21.295,20.699,20.833
02/16 - 2:30,21.041,21.526,20.727,21.791,21.502,21.266,20.683,20.824
02/16 - 2:45,21.022,21.504,20.725,21.762,21.489,21.236,20.667,20.815
02/16 - 3:00,20.992,21.472,20.722,21.720,21.474,21.196,20.646,20.806
02/16 - 3:15,20.947,21.428,20.719,21.662,21.457,21.129,20.615,20.797
02/16 - 3:30,20.897,21.381,20.716,21.600,21.439,21.051,20.579,20.788
02/16 - 3:45,20.845,21.331,20.713,21.536,21.420,20.965,20.541,20.778
02/16 - 4:00,20.804,21.292,20.709,21.488,21.404,20.890,20.510,20.768
02/16 - 4:15,20.783,21.269,20.705,21.459,21.388,20.849,20.490,20.758
02/16 - 4:30,20.765,21.248,20.701,21.434,21.373,20.820,20.474,20.747
02/16 - 4:45,20.749,21.228,20.697,21.410,21.357,20.797,20.460,20.736
02/16 - 5:00,20.732,21.207,20.692,21.382,21.340,20.774,20.444,20.725
02/16 - 5:15,20.710,21.181,20.687,21.350,21.322,20.744,20.426,20.714
02/16 - 5:30,20.688,21.156,20.682,21.317,21.303,20.711,20.407,20.703
02/16 - 5:45,20.665,21.130,20.677,21.283,21.285,20.678,20.388,20.692
02/16 - 6:00,20.643,21.104,20.671,21.250,21.266,20.645,20.369,20.681
02/16 - 6:15,20.623,21.080,20.666,21.220,21.248,20.616,20.352,20.670
02/16 - 6:30,20.604,21.056,20.660,21.190,21.229,20.589,20.335,20.659
02/16 - 6:45,20.586,21.033,20.654,21.162,21.210,20.565,20.319,20.648
02/16 - 7:00,20.568,21.011,20.648,21.134,21.191,20.542,20.303,20.637
02/16 - 7:15,20.550,20.989,20.641,21.108,21.173,20.521,20.288,20.626
02/16 - 7:30,20.534,20.969,20.635,21.083,21.154,20.503,20.273,20.616
02/16 - 7:45,20.519,20.949,20.629,21.060,21.135,20.487,20.260,20.605
02/16 - 8:00,20.505,20.931,20.622,21.039,21.117,20.474,20.248,20.595
02/16 - 8:15,20.494,20.915,20.616,21.020,21.099,20.465,20.237,20.584
02/16 - 8:30,20.483,20.900,20.610,21.003,21.081,20.459,20.228,20.574
02/16 - 8:45,20.474,20.887,20.603,20.987,21.064,20.454,20.219,20.565
02/16 - 9:00,20.463,20.872,20.597,20.969,21.047,20.449,20.210,20.555
02/16 - 9:15,20.450,20.855,20.591,20.949,21.029,20.439,20.200,20.546
02/16 - 9:30,20.437,20.839,20.585,20.930,21.013,20.428,20.190,20.537
02/16 - 9:45,20.425,20.823,20.579,20.911,20.996,20.418,20.180,20.529
02/16 - 10:00,20.414,20.810,20.573,20.895,20.981,20.410,20.171,20.520
02/16 - 10:15,20.406,20.799,20.568,20.882,20.966,20.405,20.164,20.512
02/16 - 10:30,20.398,20.788,20.562,20.869,20.952,20.401,20.158,20.505
02/16 - 10:45,20.390,20.778,20.557,20.857,20.938,20.398,20.153,20.497
02/16 - 11:00,20.384,20.769,20.551,20.847,20.925,20.397,20.148,20.490
02/16 - 11:15,20.378,20.762,20.546,20.837,20.912,20.396,20.144,20.483
02/16 - 11:30,20.373,20.754,20.541,20.828,20.900,20.396,20.140,20.476
02/16 - 11:45,20.368,20.747,20.536,20.819,20.888,20.396,20.137,20.469
02/16 - 12:00,20.368,20.745,20.531,20.817,20.877,20.402,20.136,20.463
02/16 - 12:15,20.372,20.747,20.526,20.820,20.867,20.416,20.139,20.457
02/16 - 12:30,20.378,20.749,20.522,20.823,20.858,20.434,20.142,20.451
02/16 - 12:45,20.383,20.752,20.517,20.827,20.849,20.452,20.146,20.445
02/16 - 13:00,20.386,20.753,20.513,20.827,20.840,20.466,20.149,20.439
02/16 - 13:15,20.385,20.750,20.509,20.823,20.831,20.472,20.149,20.434
02/16 - 13:30,20.384,20.747,20.504,20.819,20.822,20.476,20.148,20.428
02/16 - 13:45,20.382,20.745,20.500,20.815,20.814,20.479,20.147,20.423
02/16 - 14:00,20.380,20.742,20.496,20.810,20.805,20.481,20.146,20.418
02/16 - 14:15,20.378,20.738,20.492,20.805,20.797,20.481,20.144,20.413
02/16 - 14:30,20.375,20.734,20.488,20.799,20.789,20.480,20.142,20.407
02/16 - 14:45,20.372,20.730,20.484,20.793,20.782,20.478,20.140,20.402
02/16 - 15:00,20.367,20.725,20.480,20.785,20.774,20.474,20.137,20.397
02/16 - 15:15,20.360,20.717,20.476,20.775,20.766,20.465,20.132,20.392
02/16 - 15:30,20.352,20.709,20.471,20.764,20.758,20.454,20.126,20.387
02/16 - 15:45,20.344,20.700,20.467,20.752,20.750,20.442,20.120,20.382
02/16 - 16:00,20.337,20.693,20.463,20.743,20.742,20.431,20.115,20.376
02/16 - 16:15,20.331,20.687,20.458,20.735,20.735,20.422,20.110,20.371
02/16 - 16:30,20.326,20.680,20.454,20.726,20.727,20.413,20.105,20.365
